neighborhood_municipality,infections,reinfections,deaths,hospitalizations,pcr_tests,positive_pcr_tests,update_date
Scott,31412,2892,82,146,51675,3584,2022-04-11
Sewickley,2684,138,5,9,6092,558,2022-04-11
Sewickley Heights,688,15,1,3,1613,122,2022-04-11
Sewickley Hills,505,41,0,4,952,96,2022-04-11
Shadyside (Pittsburgh),17541,870,26,88,53208,2503,2022-04-11
Shaler,21384,1394,52,260,39304,5097,2022-04-11
Sharpsburg,2359,122,8,44,4849,538,2022-04-11
Sheraden (Pittsburgh),4343,279,10,59,8158,1155,2022-04-11
South Fayette,21147,1557,64,110,28694,3433,2022-04-11
South Oakland (Pittsburgh),2459,136,6,21,7702,615,2022-04-11
South Park,11135,610,15,100,19512,2589,2022-04-11
South Shore (Pittsburgh),262,7,0,0,639,54,2022-04-11
South Versailles,359,37,3,9,515,76,2022-04-11
Southside Flats (Pittsburgh),20385,1295,13,50,45822,2032,2022-04-11
Southside Slopes (Pittsburgh),3675,245,2,26,7492,894,2022-04-11
Spring Garden (Pittsburgh),613,59,1,9,1171,147,2022-04-11
Spring Hill-City View (Pittsburgh),4420,321,15,55,8151,582,2022-04-11
Springdale Borough,2541,101,14,51,4616,637,2022-04-11
Springdale Township,1298,56,3,23,2293,309,2022-04-11
Squirrel Hill North (Pittsburgh),14137,565,9,28,70639,1745,2022-04-11
Squirrel Hill South (Pittsburgh),18893,1103,46,118,57942,3245,2022-04-11
St. Clair (Pittsburgh),137,0,1,2,384,35,2022-04-11
Stanton Heights (Pittsburgh),4572,262,19,53,8987,903,2022-04-11
Stowe,5780,400,14,89,9833,1325,2022-04-11
Strip District (Pittsburgh),1948,84,2,7,5358,430,2022-04-11
Summer Hill (Pittsburgh),958,46,3,10,1478,210,2022-04-11
Swisshelm Park (Pittsburgh),897,55,4,13,2633,211,2022-04-11
Swissvale,6607,455,10,115,16435,1698,2022-04-11
Tarentum,3720,155,7,60,6309,803,2022-04-11
Terrace Village (Pittsburgh),1913,95,4,32,4961,488,2022-04-11
Thornburg,430,5,0,1,778,92,2022-04-11
Trafford,41,4,0,0,55,4,2022-04-11
Troy Hill (Pittsburgh),2004,88,5,21,5081,498,2022-04-11
Turtle Creek,4657,330,18,81,8480,1006,2022-04-11
